System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 Teresa
Machine Name:	 TB_LAPTOP

Data properties:

Recording name:	 Rec 04
Recording date:	 01.06.2010
Recording time:	 12:13:12
Recording resolution:	 1280 x 1024

Export date:	 30.09.2010
Export time:	 12:51:34

Participant:	 VP2_C1
Participant properties:

Q15:	 gibt den größten gemeinsamen Teiler von a und b aus.
Q01:	 einen Vortrag über die Spielplätze im Britzer Garten.
Q13:	 gibt den größten gemeinsamen Teiler von a und b aus.
Q02:	 den Diebstahl von Medikamenten durch eine Schwester.
Q16:	 gibt ein leeres Feld aus. 
Q03:	 eine Bürgersprechstunde, die bei einer anderen Person, aber zur normalen Uhrzeit stattfindet.
Q07:	 testet, ob “anna” ein Palindrom ist, also von vorn und von hinten gelesen gleich bleibt und gibt true aus.
Q04:	 gibt die Quersumme aus.
Q08:	 testet, ob das eingegebene Feld in aufsteigender Reihenfolge sortiert ist.
Geschlecht:	 männlich
Q09:	 gibt den Mittelwert zurück.
Status:	 Novize
Q11:	 testet, ob das Feld aufsteigend sortiert ist.
Q05:	 testet, ob es sich bei einem eingegebenen Zeichen um +, -, * oder / handelt und gibt das Ergebnis der entsprechende Operation mit den Eingabewerten aus.
Q06:	 testet ob alle Zeichen des Strings „HelloWorld“ Buchstaben sind und gibt ihn aus.
Q14:	 berechnet num1+num2.
Q10:	 gibt den größten gemeinsamen Teiler von a und b aus.
Q12:	 gibt den größten gemeinsamen Teiler von a und b aus.

Timestamp	Event	EventKey	Data1	Data2	Descriptor	
337	ImageStart	8	0	0	bsp.png	
38173	LeftMouseClick	1	985	249		
38177	ImageEnd	16	0	0	bsp.png	
38360	ScreenRecStarted	8192	0	0		
38562	QuestionStarted	32768	0	0	Dieser Quelltext ...	
48885	LeftMouseClick	1	279	345		
50221	LeftMouseClick	1	313	495		
50317	QuestionEnded	65536	0	0	Dieser Quelltext ...	
51391	ScreenRecStopped	16384	0	0		
52274	ImageStart	8	0	0	1.png	
61261	LeftMouseClick	1	549	425		
61272	ImageEnd	16	0	0	1.png	
61470	ScreenRecStarted	8192	0	0		
61689	QuestionStarted	32768	0	0	Dieser Quelltext ...
	
78109	LeftMouseClick	1	277	365		
78877	LeftMouseClick	1	281	563		
78966	QuestionEnded	65536	0	0	Dieser Quelltext ...
	
79931	ScreenRecStopped	16384	0	0		
80714	ImageStart	8	0	0	2.png	
101613	LeftMouseClick	1	518	497		
101616	ImageEnd	16	0	0	2.png	
101753	ScreenRecStarted	8192	0	0		
101951	QuestionStarted	32768	0	0	Dieser Quelltext ...
	
111173	LeftMouseClick	1	284	313		
112341	LeftMouseClick	1	308	503		
112853	LeftMouseClick	1	299	489		
112918	QuestionEnded	65536	0	0	Dieser Quelltext ...
	
113952	ScreenRecStopped	16384	0	0		
114739	ImageStart	8	0	0	3.png	
149213	LeftMouseClick	1	408	499		
149226	ImageEnd	16	0	0	3.png	
149376	ScreenRecStarted	8192	0	0		
149617	QuestionStarted	32768	0	0	Dieser Quelltext …
	
166461	LeftMouseClick	1	282	403		
167469	LeftMouseClick	1	300	534		
167562	QuestionEnded	65536	0	0	Dieser Quelltext …
	
168280	ScreenRecStopped	16384	0	0		
169255	ImageStart	8	0	0	4.png	
200245	LeftMouseClick	1	392	478		
200253	ImageEnd	16	0	0	4.png	
200463	ScreenRecStarted	8192	0	0		
200653	QuestionStarted	32768	0	0	Dieser Quelltext …
	
216085	LeftMouseClick	1	276	387		
217261	LeftMouseClick	1	313	497		
217407	QuestionEnded	65536	0	0	Dieser Quelltext …
	
218223	ScreenRecStopped	16384	0	0		
219111	ImageStart	8	0	0	5.png	
244717	LeftMouseClick	1	317	472		
244719	ImageEnd	16	0	0	5.png	
244959	ScreenRecStarted	8192	0	0		
245197	QuestionStarted	32768	0	0	Dieser Quelltext …
	
248181	LeftMouseClick	1	275	314		
249461	LeftMouseClick	1	299	497		
249590	QuestionEnded	65536	0	0	Dieser Quelltext …
	
250345	ScreenRecStopped	16384	0	0		
